Country,Year,Happiness Score
Finland,2024,7.74
Denmark,2024,7.58
Iceland,2024,7.53
Sweden,2024,7.34
Israel,2024,7.34
Netherlands,2024,7.32
Norway,2024,7.3
Luxembourg,2024,7.12
Switzerland,2024,7.06
Australia,2024,7.06
New Zealand,2024,7.03
Costa Rica,2024,6.96
Kuwait,2024,6.95
Austria,2024,6.91
Canada,2024,6.9
Belgium,2024,6.89
Ireland,2024,6.84
Czechia,2024,6.82
Lithuania,2024,6.82
United Kingdom,2024,6.75
Slovenia,2024,6.74
United Arab Emirates,2024,6.73
United States,2024,6.73
Germany,2024,6.72
Mexico,2024,6.68
Uruguay,2024,6.61
France,2024,6.61
Saudi Arabia,2024,6.59
Kosovo,2024,6.56
Singapore,2024,6.52
Taiwan Province of China,2024,6.5
Romania,2024,6.49
El Salvador,2024,6.47
Estonia,2024,6.45
Poland,2024,6.44
Spain,2024,6.42
Serbia,2024,6.41
Chile,2024,6.36
Panama,2024,6.36
Malta,2024,6.35
Italy,2024,6.32
Guatemala,2024,6.29
Nicaragua,2024,6.28
Brazil,2024,6.27
Slovakia,2024,6.26
Latvia,2024,6.23
Uzbekistan,2024,6.2
Argentina,2024,6.19
Kazakhstan,2024,6.19
Cyprus,2024,6.07
Japan,2024,6.06
South Korea,2024,6.06
Philippines,2024,6.05
Vietnam,2024,6.04
Portugal,2024,6.03
Hungary,2024,6.02
Paraguay,2024,5.98
Thailand,2024,5.98
Malaysia,2024,5.98
China,2024,5.97
Honduras,2024,5.97
Bahrain,2024,5.96
Croatia,2024,5.94
Greece,2024,5.93
Bosnia and Herzegovina,2024,5.88
Libya,2024,5.87
Jamaica,2024,5.84
Peru,2024,5.84
Dominican Republic,2024,5.82
Mauritius,2024,5.82
Moldova,2024,5.82
Russia,2024,5.79
Bolivia,2024,5.78
Ecuador,2024,5.73
Kyrgyzstan,2024,5.71
Montenegro,2024,5.71
Mongolia,2024,5.7
Colombia,2024,5.7
Venezuela,2024,5.61
Indonesia,2024,5.57
Bulgaria,2024,5.46
Armenia,2024,5.46
South Africa,2024,5.42
North Macedonia,2024,5.37
Algeria,2024,5.36
Hong Kong S.A.R. of China,2024,5.32
Albania,2024,5.3
Tajikistan,2024,5.28
Congo (Brazzaville),2024,5.22
Mozambique,2024,5.22
Georgia,2024,5.19
Iraq,2024,5.17
Nepal,2024,5.16
Laos,2024,5.14
Gabon,2024,5.11
Ivory Coast,2024,5.08
Guinea,2024,5.02
Turkiye,2024,4.98
Senegal,2024,4.97
Iran,2024,4.92
Azerbaijan,2024,4.89
Nigeria,2024,4.88
State of Palestine,2024,4.88
Cameroon,2024,4.87
Ukraine,2024,4.87
Namibia,2024,4.83
Morocco,2024,4.8
Pakistan,2024,4.66
Niger,2024,4.56
Burkina Faso,2024,4.55
Mauritania,2024,4.51
Gambia,2024,4.49
Chad,2024,4.47
Kenya,2024,4.47
Tunisia,2024,4.42
Benin,2024,4.38
Uganda,2024,4.37
Myanmar,2024,4.35
Cambodia,2024,4.34
Ghana,2024,4.29
Liberia,2024,4.27
Mali,2024,4.23
Madagascar,2024,4.23
Togo,2024,4.21
Jordan,2024,4.19
India,2024,4.05
Egypt,2024,3.98
Sri Lanka,2024,3.9
Bangladesh,2024,3.89
Ethiopia,2024,3.86
Tanzania,2024,3.78
Comoros,2024,3.57
Yemen,2024,3.56
Zambia,2024,3.5
Eswatini,2024,3.5
Malawi,2024,3.42
Botswana,2024,3.38
Zimbabwe,2024,3.34
Congo (Kinshasa),2024,3.3
Sierra Leone,2024,3.25
Lesotho,2024,3.19
Lebanon,2024,2.71
Afghanistan,2024,1.72
Finland,2023,7.8
Denmark,2023,7.59
Iceland,2023,7.53
Israel,2023,7.47
Netherlands,2023,7.4
Sweden,2023,7.4
Norway,2023,7.32
Switzerland,2023,7.24
Luxembourg,2023,7.23
New Zealand,2023,7.12
Austria,2023,7.1
Australia,2023,7.1
Canada,2023,6.96
Ireland,2023,6.91
United States,2023,6.89
Germany,2023,6.89
Belgium,2023,6.86
Czechia,2023,6.85
United Kingdom,2023,6.8
Lithuania,2023,6.76
France,2023,6.66
Slovenia,2023,6.65
Costa Rica,2023,6.61
Romania,2023,6.59
Singapore,2023,6.59
United Arab Emirates,2023,6.57
Taiwan Province of China,2023,6.54
Uruguay,2023,6.49
Slovakia,2023,6.47
Saudi Arabia,2023,6.46
Estonia,2023,6.46
Spain,2023,6.44
Italy,2023,6.41
Kosovo,2023,6.37
Chile,2023,6.33
Mexico,2023,6.33
Malta,2023,6.3
Panama,2023,6.27
Poland,2023,6.26
Nicaragua,2023,6.26
Latvia,2023,6.21
Bahrain,2023,6.17
Guatemala,2023,6.15
Kazakhstan,2023,6.14
Serbia,2023,6.14
Cyprus,2023,6.13
Japan,2023,6.13
Croatia,2023,6.13
Brazil,2023,6.13
El Salvador,2023,6.12
Hungary,2023,6.04
Argentina,2023,6.02
Honduras,2023,6.02
Uzbekistan,2023,6.01
Malaysia,2023,6.01
Portugal,2023,5.97
South Korea,2023,5.95
Greece,2023,5.93
Mauritius,2023,5.9
Thailand,2023,5.84
Mongolia,2023,5.84
Kyrgyzstan,2023,5.83
Moldova,2023,5.82
China,2023,5.82
Vietnam,2023,5.76
Paraguay,2023,5.74
Montenegro,2023,5.72
Jamaica,2023,5.7
Bolivia,2023,5.68
Russia,2023,5.66
Bosnia and Herzegovina,2023,5.63
Colombia,2023,5.63
Dominican Republic,2023,5.57
Ecuador,2023,5.56
Peru,2023,5.53
Philippines,2023,5.52
Bulgaria,2023,5.47
Nepal,2023,5.36
Armenia,2023,5.34
Tajikistan,2023,5.33
Algeria,2023,5.33
Hong Kong S.A.R. of China,2023,5.31
Albania,2023,5.28
Indonesia,2023,5.28
South Africa,2023,5.28
Congo (Brazzaville),2023,5.27
North Macedonia,2023,5.25
Venezuela,2023,5.21
Laos,2023,5.11
Georgia,2023,5.11
Guinea,2023,5.07
Ukraine,2023,5.07
Ivory Coast,2023,5.05
Gabon,2023,5.04
Nigeria,2023,4.98
Cameroon,2023,4.97
Mozambique,2023,4.95
Iraq,2023,4.94
State of Palestine,2023,4.91
Morocco,2023,4.9
Iran,2023,4.88
Senegal,2023,4.86
Mauritania,2023,4.72
Burkina Faso,2023,4.64
Namibia,2023,4.63
Turkiye,2023,4.61
Ghana,2023,4.61
Pakistan,2023,4.56
Niger,2023,4.5
Tunisia,2023,4.5
Kenya,2023,4.49
Sri Lanka,2023,4.44
Uganda,2023,4.43
