Median Rent % Income,County,State Code,County Code,State
25.4,"Autauga County, Alabama",01,001,AL
27.7,"Baldwin County, Alabama",01,003,AL
25.2,"Barbour County, Alabama",01,005,AL
33.5,"Bibb County, Alabama",01,007,AL
30.2,"Blount County, Alabama",01,009,AL
42.8,"Bullock County, Alabama",01,011,AL
28.8,"Butler County, Alabama",01,013,AL
27.9,"Calhoun County, Alabama",01,015,AL
22.6,"Chambers County, Alabama",01,017,AL
26.5,"Cherokee County, Alabama",01,019,AL
21.6,"Chilton County, Alabama",01,021,AL
24.9,"Choctaw County, Alabama",01,023,AL
32.8,"Clarke County, Alabama",01,025,AL
22.9,"Clay County, Alabama",01,027,AL
27.9,"Cleburne County, Alabama",01,029,AL
25.8,"Coffee County, Alabama",01,031,AL
28.4,"Colbert County, Alabama",01,033,AL
34.1,"Conecuh County, Alabama",01,035,AL
35.5,"Coosa County, Alabama",01,037,AL
29.7,"Covington County, Alabama",01,039,AL
23.1,"Crenshaw County, Alabama",01,041,AL
24.7,"Cullman County, Alabama",01,043,AL
24.7,"Dale County, Alabama",01,045,AL
36.3,"Dallas County, Alabama",01,047,AL
26.9,"DeKalb County, Alabama",01,049,AL
27.3,"Elmore County, Alabama",01,051,AL
29.0,"Escambia County, Alabama",01,053,AL
30.0,"Etowah County, Alabama",01,055,AL
26.7,"Fayette County, Alabama",01,057,AL
22.4,"Franklin County, Alabama",01,059,AL
27.3,"Geneva County, Alabama",01,061,AL
25.4,"Greene County, Alabama",01,063,AL
31.0,"Hale County, Alabama",01,065,AL
28.7,"Henry County, Alabama",01,067,AL
27.9,"Houston County, Alabama",01,069,AL
27.4,"Jackson County, Alabama",01,071,AL
31.8,"Jefferson County, Alabama",01,073,AL
31.9,"Lamar County, Alabama",01,075,AL
26.3,"Lauderdale County, Alabama",01,077,AL
21.8,"Lawrence County, Alabama",01,079,AL
34.9,"Lee County, Alabama",01,081,AL
24.0,"Limestone County, Alabama",01,083,AL
35.4,"Lowndes County, Alabama",01,085,AL
33.4,"Macon County, Alabama",01,087,AL
27.6,"Madison County, Alabama",01,089,AL
32.7,"Marengo County, Alabama",01,091,AL
27.9,"Marion County, Alabama",01,093,AL
27.1,"Marshall County, Alabama",01,095,AL
32.2,"Mobile County, Alabama",01,097,AL
28.0,"Monroe County, Alabama",01,099,AL
30.9,"Montgomery County, Alabama",01,101,AL
27.7,"Morgan County, Alabama",01,103,AL
26.9,"Perry County, Alabama",01,105,AL
30.4,"Pickens County, Alabama",01,107,AL
33.0,"Pike County, Alabama",01,109,AL
28.2,"Randolph County, Alabama",01,111,AL
30.8,"Russell County, Alabama",01,113,AL
26.4,"St. Clair County, Alabama",01,115,AL
29.5,"Shelby County, Alabama",01,117,AL
41.6,"Sumter County, Alabama",01,119,AL
26.6,"Talladega County, Alabama",01,121,AL
25.4,"Tallapoosa County, Alabama",01,123,AL
31.9,"Tuscaloosa County, Alabama",01,125,AL
26.8,"Walker County, Alabama",01,127,AL
25.1,"Washington County, Alabama",01,129,AL
30.6,"Wilcox County, Alabama",01,131,AL
28.0,"Winston County, Alabama",01,133,AL
21.0,"Aleutians East Borough, Alaska",02,013,AK
21.4,"Aleutians West Census Area, Alaska",02,016,AK
29.1,"Anchorage Municipality, Alaska",02,020,AK
19.2,"Bethel Census Area, Alaska",02,050,AK
12.4,"Bristol Bay Borough, Alaska",02,060,AK
27.6,"Chugach Census Area, Alaska",02,063,AK
17.9,"Copper River Census Area, Alaska",02,066,AK
26.9,"Denali Borough, Alaska",02,068,AK
22.3,"Dillingham Census Area, Alaska",02,070,AK
29.1,"Fairbanks North Star Borough, Alaska",02,090,AK
27.0,"Haines Borough, Alaska",02,100,AK
23.6,"Hoonah-Angoon Census Area, Alaska",02,105,AK
24.8,"Juneau City and Borough, Alaska",02,110,AK
29.2,"Kenai Peninsula Borough, Alaska",02,122,AK
29.8,"Ketchikan Gateway Borough, Alaska",02,130,AK
25.7,"Kodiak Island Borough, Alaska",02,150,AK
17.0,"Kusilvak Census Area, Alaska",02,158,AK
18.3,"Lake and Peninsula Borough, Alaska",02,164,AK
31.3,"Matanuska-Susitna Borough, Alaska",02,170,AK
19.7,"Nome Census Area, Alaska",02,180,AK
18.5,"North Slope Borough, Alaska",02,185,AK
19.1,"Northwest Arctic Borough, Alaska",02,188,AK
29.3,"Petersburg Borough, Alaska",02,195,AK
23.8,"Prince of Wales-Hyder Census Area, Alaska",02,198,AK
29.9,"Sitka City and Borough, Alaska",02,220,AK
19.5,"Skagway Municipality, Alaska",02,230,AK
22.9,"Southeast Fairbanks Census Area, Alaska",02,240,AK
24.6,"Wrangell City and Borough, Alaska",02,275,AK
14.3,"Yakutat City and Borough, Alaska",02,282,AK
17.1,"Yukon-Koyukuk Census Area, Alaska",02,290,AK
16.5,"Apache County, Arizona",04,001,AZ
28.4,"Cochise County, Arizona",04,003,AZ
31.3,"Coconino County, Arizona",04,005,AZ
27.7,"Gila County, Arizona",04,007,AZ
23.0,"Graham County, Arizona",04,009,AZ
9.0,"Greenlee County, Arizona",04,011,AZ
18.7,"La Paz County, Arizona",04,012,AZ
30.6,"Maricopa County, Arizona",04,013,AZ
29.7,"Mohave County, Arizona",04,015,AZ
22.5,"Navajo County, Arizona",04,017,AZ
31.2,"Pima County, Arizona",04,019,AZ
28.4,"Pinal County, Arizona",04,021,AZ
27.8,"Santa Cruz County, Arizona",04,023,AZ
28.4,"Yavapai County, Arizona",04,025,AZ
28.3,"Yuma County, Arizona",04,027,AZ
26.7,"Arkansas County, Arkansas",05,001,AR
28.3,"Ashley County, Arkansas",05,003,AR
30.5,"Baxter County, Arkansas",05,005,AR
22.8,"Benton County, Arkansas",05,007,AR
24.8,"Boone County, Arkansas",05,009,AR
25.8,"Bradley County, Arkansas",05,011,AR
21.2,"Calhoun County, Arkansas",05,013,AR
28.5,"Carroll County, Arkansas",05,015,AR
23.5,"Chicot County, Arkansas",05,017,AR
27.7,"Clark County, Arkansas",05,019,AR
23.5,"Clay County, Arkansas",05,021,AR
26.7,"Cleburne County, Arkansas",05,023,AR
