"store_name","store_id","foodzone","foodcode","foodname","servsize","calories","fatcals","totalfat","satfat","transfat","cholesterol","sodium","carbs","fiber","sugars","protein","vitaminA","vitaminC","calcium","iron"
"120 4th Street","611","5","8E48863C-D91A-48BF-B96C-CEEDBC9C4EDD","Almond Toffee Cookie with Pecans","91","420","200","22","10","0","55","390","52","2","33","4","10%","0%","6%","15%"
"120 4th Street","611","5","8145300E-B021-461E-A390-E0B10CA9D4D7","Baked Berry Stella","82","280","80","9","4","0","30","150","45","6","17","6","0%","4%","4%","10%"
"120 4th Street","611","5","F8993567-0CEE-47C5-9A43-2BA53FF1B846","Blueberry Oat Bar with Organic Blueberries","103","390","140","15","5","0","0","300","59","3","26","5","0%","4%","2%","15%"
"120 4th Street","611","5","58257F99-072B-40FF-9B0F-9CB5A006AF93","Brownie Bites","28","130","70","7","2","0","0","40","17","<1","11","1","0%","0%","0%","2%"
"120 4th Street","611","5","731BBDED-8B1B-4AC9-90A6-7E44A04298D6","Brownie Bites - 3 pack","84","400","200","22","5","0","0","120","51","2","0","3","0%","0%","2%","0"
"120 4th Street","611","5","7A7A285F-DFEA-4788-8D72-80C14F2DBE3C","Chewy Fruit and Nut Bar","65","250","90","10","2","0","5","25","38","4","20","5","8%","0%","2%","6%"
"120 4th Street","611","5","915C5B70-33E3-46CB-90F2-782C93C8F749","Chocolate Chunk Cookie","97","450","170","19","9","0","60","125","67","2","34","6","10%","0%","2%","15%"
"120 4th Street","611","5","6E72F7A1-1E9B-40AF-BCEF-F2611E496810","Crispy Marshmallow Square *With Candies","99","410","110","12","8","0","30","270","72","<1","34","3","6%","0%","2%","4%"
"120 4th Street","611","5","D0366E3A-EB96-4A6D-B480-38D5EC1800D0","Ginger Chew Cookie","80","300","70","8","5","0","40","105","52","2","0","4","4%","0%","10%","0"
"120 4th Street","611","5","B106FC3F-2BA0-40FA-A2EE-55D508ADCA44","Organic Oatmeal Cookie","85","350","130","14","9","0","50","55","51","3","25","5","10%","0%","2%","8%"
"120 4th Street","611","5","12F47D22-C0A2-4FE2-BA84-2BC07BA76E9A","Snickerdoodle Cookie","84","350","130","14","9","0","65","170","50","1","24","5","10%","0%","4%","15%"
"120 4th Street","611","5","4E52467B-67F3-45A3-96AB-68E8FCD5058E","Toffee Almond Bar","85","420","210","23","13","1","80","270","47","2","24","5","15%","0%","4%","10%"
"120 4th Street","611","5","4C3B6B77-1FBE-4790-807C-C97C2101A3CD","Protein Plate *with Peanut Butter","187","330","140","16","4.5","0","200","540","35","5","15","16","8%","20%","25%","10%"
"120 4th Street","611","5","1710FF3E-B066-4D1D-8F8B-698EC24A989F","Asiago Cheese Bagel","137","340","60","7","3.5","0","20","640","58","3","4","15","2%","0%","15%","15%"
"120 4th Street","611","5","0320240D-C1E8-471E-8D13-F4CA694A1023","Butter Croissant","79","270","130","15","9","0","70","25","29","1","4","6","15%","0%","4%","6%"
"120 4th Street","611","5","12481AAE-4450-4A22-953A-FE338023F1C9","Chocolate Croissant","97","370","180","20","10","0","50","40","42","2","3","6","2%","0%","4%","8%"
"120 4th Street","611","5","FA598557-56A7-4786-8869-563236A7AF12","Lowfat Multigrain Roll","96","250","15","1.5","0.5","0","30","400","53","3","19","7","2%","2%","10%","15%"
"120 4th Street","611","5","8C087132-9256-472C-A730-D9AB55703B28","Multigrain Roll","85","280","50","6","0.5","0","0","400","43","7","7","7","0%","0%","2%","20%"
"120 4th Street","611","5","5AD8FD6B-0587-4D5F-8B77-89EB136347EE","Plain Bagel","119","330","0","0","0","0","0","500","67","2","8","13","0%","0%","0%","20%"
"120 4th Street","611","5","D1A1D3DA-7A1C-4AF4-A724-09AF275F6937","Pretzel","77","180","35","4","0.5","0","35","550","32","2","3","6","0%","10%","2%","10%"
"120 4th Street","611","5","800EF6E6-D8F0-43E4-B188-742EC73455C2","Bear Claw with Almonds","111","410","200","22","10","0","55","310","37","3","0","7","10%","0%","8%","0"
"120 4th Street","611","5","CC6BD918-1242-4A83-9F9E-43694B83FDA6","Cheese Danish","95","350","190","21","13","0","85","300","34","1","11","5","0%","8%","4%","8%"
"120 4th Street","611","5","12474ECA-900D-4622-8F69-6CF55E4DD620","Cinnamon Roll","111","400","140","16","9","0","90","240","60","2","32","6","10%","2%","6%","10%"
"120 4th Street","611","5","CEAE88EB-948A-4B48-A503-213D3C6038EB","Morning Bun","96","250","15","1.5","0.5","0","30","400","53","3","19","7","2%","2%","10%","15%"
"120 4th Street","611","5","CAF6B50A-6306-49A2-80EB-380026C7A56A","Top Pot Apple Fritter","123","490","200","22","10","0","0","290","65","1","27","4","0%","0%","2%","20%"
"120 4th Street","611","5","99867C9A-6328-4500-9AB5-C2CD8494DEAC","Top Pot Chocolate Old Fashioned Doughnut","113","480","220","25","7","0","20","350","60","2","38","5","0%","0%","2%","15%"
"120 4th Street","611","5","D8A0F09A-27D3-4CCB-833D-5F53383F795F","Top Pot Classic Glazed Old Fashioned Doughnut","113","480","210","23","9","0","20","410","64","<1","39","4","0%","0%","2%","10%"
"120 4th Street","611","5","E8450E96-3E83-418E-B185-B493328E5834","Top Pot Glazed Old Fashioned Mini Doughnut","34","150","60","7","2.5","0","5","120","19","0","12","1","0%","0%","0%","4%"
"120 4th Street","611","5","15E559A3-9380-4C44-B259-72361D244FAE","Banana Nut Bread","131","410","170","19","4.5","0","60","380","55","3","13","8","8%","8%","4%","15%"
"120 4th Street","611","5","38D3C357-73A1-4FE1-9205-2A38E294543A","Classic Coffee Cake","113","420","160","18","11","0","95","530","61","1","37","5","15%","4%","4%","20%"
"120 4th Street","611","5","096D2FCF-822A-4627-9270-89D4255EFC85","Crumble Coffee Cake *Contains Pecans","120","450","190","22","9","0","70","370","58","2","34","6","0%","2%","8%","15%"
"120 4th Street","611","5","37E2F49B-13F4-4149-966B-13C3B3371162","Lemon Loaf","142","480","170","18","11","0","135","240","71","1","38","7","15%","2%","8%","15%"
"120 4th Street","611","5","A4B08487-8A15-4E35-A802-5160609F0C82","Pumpkin Loaf","106","330","110","12","2","0","45","420","50","1","32","5","60%","2%","2%","15%"
"120 4th Street","611","5","51EF3321-67F1-4B70-9E3B-A1FA478EDD5B","Reduced-Fat Blueberry Coffee Cake","122","320","50","6","4.5","0","10","420","54","1","33","4","2%","2%","8%","8%"
"120 4th Street","611","5","2A1305F8-A06E-41D8-85AA-007960B3BD68","Reduced-Fat Cinnamon Swirl Coffee Cake","105","300","50","6","4","0","10","370","53","1","34","4","2%","0%","8%","10%"
"120 4th Street","611","5","F87999D1-269D-4AA1-88FF-640D25783784","Apple Bran Muffin","125","330","70","8","2","0","60","460","61","7","30","7","6%","20%","20%","15%"
"120 4th Street","611","5","EA4943B0-0BE1-4914-B924-747FE3ABC1D6","Blueberry Muffin","106","410","200","22","4.5","0","70","390","47","1","22","5","4%","0%","4%","10%"
"120 4th Street","611","5","FEEDE82B-6253-4696-88DB-275DADEE66FB","Blueberry Scone","121","370","110","12","7","0","65","410","49","6","16","6","10%","15%","6%","15%"
"120 4th Street","611","5","1F22986E-1948-4999-970B-214A7E84D73A","Cranberry Orange Scone","128","430","130","15","8","0","80","480","66","4","23","7","0%","4%","6%","15%"
