"store_name","store_id","foodzone","foodcode","foodname","servsize","calories","fatcals","totalfat","satfat","transfat","cholesterol","sodium","carbs","fiber","sugars","protein","vitaminA","vitaminC","calcium","iron"
"Columbia Center","101","24","3D3AAD4B-F2F8-4C08-A5CD-20CB62369E1B","Butterhorn *Contains Walnuts","41","160","60","7","1","0","10","110","23","0","13","2","6%","0%","2%","4%"
"Columbia Center","101","24","30D58FDC-96FB-4578-B18D-399F86F104DB","Caramel Toffee Almond Bar","81","380","160","18","8","0","45","380","51","<1","34","4","10%","0%","6%","10%"
"Columbia Center","101","24","118B59B0-A9E4-41E8-A146-8762909F3DAF","Chocolate Chip Cookie","104","460","190","22","12","0","50","590","62","2","35","5","4%","0%","2%","15%"
"Columbia Center","101","24","63A4A563-89D1-45FD-98E6-616EE67AD800","Crispy Marshmallow Square","69","280","50","6","3","0","10","330","55","0","29","2","4%","0%","0%","20%"
"Columbia Center","101","24","A93F9319-C86E-4DD4-AA2F-FD8CBBD4A986","Oatmeal Raisin Cookie","101","400","120","14","7","0","40","220","61","4","34","6","10%","0%","2%","15%"
"Columbia Center","101","24","AA384E62-1501-4901-948E-EF4D26A49207","Egg Salad on Multigrain","196","450","190","21","4.5","0","340","780","48","3","9","19","30%","6%","15%","20%"
"Columbia Center","101","24","B25EBC7E-87E1-41F5-9790-C56FD4A080B9","Goat Cheese with Roasted Mushroom","153","290","100","11","4","0","10","630","35","4","5","10","4%","6%","6%","15%"
"Columbia Center","101","24","610019A8-1643-425F-A738-60C4CD15DD99","Peachy Raspberry Yogurt Parfait","255","310","35","4","0","0","0","90","60","4","32","9","0%","10%","25%","10%"
"Columbia Center","101","24","6A1F0B2D-8464-4468-9672-6527CF9C8A05","Prosciutto e Ricotta","145","300","110","12","4.5","0","50","1350","30","1","4","19","2%","0%","8%","15%"
"Columbia Center","101","24","C2948AC8-2103-4269-849B-8D51A2BAD097","Protein Plate *with Peanut Butter","192","340","140","16","4.5","0","205","550","36","5","15","16","410%","10%","260%","10%"
"Columbia Center","101","24","AF2AA968-E72E-4C67-81CA-11663A2EDB8B","Rosemary Ham & Swiss","150","370","170","19","8","0","60","960","27","1","2","21","6%","0%","20%","15%"
"Columbia Center","101","24","05A57C48-34A9-4CFE-AB31-976D16D18204","Strawberry Blueberry Yogurt Parfait","244","310","35","4","0","0","0","90","59","4","32","9","0%","25%","25%","10%"
"Columbia Center","101","24","37F448A5-8E0D-4399-ABE5-9B5A6829268A","Tarragon Chicken Salad Sandwich","221","430","90","10","1.5","0","65","1080","56","3","13","31","20%","6%","15%","15%"
"Columbia Center","101","24","3EFC0D75-09BE-4258-91C2-EF388309707B","Turkey and Swiss *with Mayonnaise and Mustard","179","350","110","12","4.5","0","55","1070","31","2","5","30","20%","6%","25%","10%"
"Columbia Center","101","24","6AB87105-87DE-4A6F-A236-7D882923BB7D","Turkey Club with Avacado *with Mayonnaise","210","420","180","20","7","0","70","1280","36","5","8","29","25%","8%","25%","15%"
"Columbia Center","101","24","BF045832-738F-4CA9-8156-2538AD3FFD1F","8-Grain Roll","128","330","50","5","2.5","0","0","400","59","5","20","9","0%","4%","4%","20%"
"Columbia Center","101","24","860375F7-93E0-4840-9793-B050A42AF26C","Butter Croissant","89","290","120","14","8","0.5","35","260","37","1","5","6","10%","2%","2%","10%"
"Columbia Center","101","24","25E6BEE7-1826-43DA-8D73-A6821F9C0AEC","Cheesy Chonga Bagel","115","310","50","5","2","0","10","550","53","3","5","13","2%","2%","20%","20%"
"Columbia Center","101","24","E2723296-49F7-405F-9FC8-C69CECA2186E","Hawaiian Bagel","113","360","70","8","1","0","40","490","60","2","17","12","0%","0%","4%","20%"
"Columbia Center","101","24","D3B30D0C-3BC5-497A-86E3-A7CE682A1757","Multigrain Roll","85","280","50","6","0.5","0","0","400","43","7","7","7","0%","0%","2%","20%"
"Columbia Center","101","24","4A7870F9-E6F6-46BB-B1E1-4143807EE9A4","Cherry Pinwheel Danish","94","310","110","13","7","0","30","300","46","1","15","4","15%","4%","4%","8%"
"Columbia Center","101","24","943C2E41-3269-4D04-84EC-5EEDF04351AF","Cinnamon Roll","150","470","120","13","6","0","10","120","81","3","15","8","8%","6%","6%","20%"
